index,title,topic_idx
0,인천→핀란드 항공기 결항…휴가철 여행객 분통,4
1,실리콘밸리 넘어서겠다…구글 15조원 들여 美전역 거점화,4
2,이란 외무 긴장완화 해결책은 미국이 경제전쟁 멈추는 것,4
3,NYT 클린턴 측근韓기업 특수관계 조명…공과 사 맞물려종합,4
4,시진핑 트럼프에 중미 무역협상 조속 타결 희망,4
5,팔레스타인 가자지구서 16세 소년 이스라엘군 총격에 사망,4
6,인도 48년 만에 파키스탄 공습…테러 캠프 폭격종합2보,4
7,美대선 TV토론 음담패설 만회실패 트럼프…사과 대신 빌클린턴 공격해 역효과,4
8,푸틴 한반도 상황 진전 위한 방안 김정은 위원장과 논의,4
9,특검 면죄부 받은 트럼프 스캔들 보도 언론 맹공…국민의 적,4
10,日 오키나와서 열린 강제징용 노동자 추도식,4
11,이란서 최고지도자 모욕 혐의 미국인에 징역 10년 선고,4
12,카니발 축제 보러 가자…브라질 리우에 대형 유람선 행렬,4
13,美올랜도 병원 최악 총기 테러 부상자 치료비 안 받는다,4
14,日 대기업 올해 평균 2.46% 임금 인상,4
15,WMO 엘니뇨 여전히 강력…2분기엔 소멸될 듯,4
16,이스라엘 네타냐후 유대교도 병역문제로 연정 협상 진통,4
17,UAE 사우디 이어 美 호르무즈 호위 연합에 참여키로,4
18,사우디군 오만해 유조선 공격 예멘반군과 연결…이란 겨냥,4
19,개천에서 용 나와라 美사업가 모교에 1천억원 장학금 기부,4
20,EU 브렉시트 합의 전 해야 할 일 많아…英에 경고,4
21,스팍스운용 일본 디플레 벗어나…새로운 도약 준비 중,4
22,트럼프 총기난사는 惡의 공격…총기규제 초당적 협력 촉구종합,4
23,NBA 카지노업체와 스폰서 계약…美프로스포츠 사상 처음,4
24,오바마 대통령 퇴임 후 워싱턴DC에 사무실 개소 예정,4
25,美 전문가 트럼프 정부 북한과 정상급 관계 시도할 것,4
26,이스라엘 네타냐후 이란에 경고…우리 전투기 도달가능 지역,4
27,이스라엘 네타냐후 총선 한달 앞두고 우크라 방문 예정,4
28,트럼프 탄핵보고서 통화기록에 등장한 의문의 숫자 1,4
29,미국 산업생산 한달만에 0.1%↑…제조업 회복 기대,4
30,셰이크 살만 AFC 회장 평양 방문…최휘 국가체육지도위원장...,4
31,신중국70년 ①차이나 미라클…최빈국서 G2 경제대국 부상,4
32,UAE 단교 20개월만에 카타르 왕래 화물선 허용,4
33,송환법 반대 홍콩 집회서 임을 위한 행진곡 울려 퍼져,4
34,말레이시아 총리 비자금 스캔들 확산…정국 긴장 고조,4
35,이스라엘서 군복무 유대학교 학생 흉기에 찔려 숨진 채 발견,4
36,獨하원 反이스라엘 운동 지원단체에 지원중단 결의안,4
37,미군 정찰기 또 한반도 비행…북 방사포 발사 이후 감시 강화,4
38,암스테르담 옴부즈맨 홍등가 출입금지 연령 정해서 이행해야,4
39,G20 때 홍콩 문제 알리자…홍콩 시민들 릴레이 시위 예고,4
40,美 태평양 진출 中 견제하나…日오키나와서 미사일 훈련 계획,4
41,터키 주재 러시아 대사 총격 피습…병원 이송,4
42,유럽인 59% 난민이 테러 가능성 키운다 인식,4
43,김영남 우리 민족 위상 과시…뜨거운 분위기 이어가길,6
44,이란 최고지도자 반정부시위에 美 사주한 공작,4
45,볼턴 美출신 IS 신부 귀국불허 재확인…시민권 입증해야종합,4
46,부르키나파소서 무장괴한들이 금광 공격…약 20명 사망,4
47,올랜도 총기난사 최소 50명 사망…美사상 최악 총기참사종합5보,4
48,적극행정 추진전략 및 성과공유대회 참석한 이낙연 총리,6
49,朴대통령 한일 합의에 소녀상 언급없어…선동하면 안돼,6
50,민주 국회의원 재보선 4곳 후보 공모에 7명 신청,6
51,프랑스 마크롱 이집트 안정 인권문제와 분리될수 없어종합,4
52,박찬호 현진이 10승 하니깐 생각이 나는데…,5
53,현행 헌법과 다른 점은 ②지방자치·경제민주화 개념 강화,6
54,고군분투 시즌 서재덕 MVP 덕큐리로 활짝 웃다종합,5
55,트럼프 유조선 공격 사소한 일…이란과 충돌우려 속 수위조절,6
56,이희호 여사 靑경호 24일로 만료…당분간 경호 유지될 듯,6
57,통일농구 오늘은 친선 남북대결…김정은 관전 가능성,6
58,임도헌 감독 신영석 중심으로 똘똘 뭉쳐 한일전 승리 따냈다,5
59,시위대에 실탄 발사 정국 불안 속 홍콩증시 2%대 하락,4
60,홍콩서 과격시위자 제보에 최고 1억5천만원 현상금 걸려,4
61,靑 6자회담 틀 완전히 무시하는게 아니다,6
62,대북확성기 방송 전면 재개…접경지 긴장 속 차분종합,6
63,데얀·김치우 OUT 조영욱 IN…서울 과감한 재건 성과...,5
64,다당제보다 효율적인 일당 체제…中공산당은 망하지 않는다,4
65,문 대통령 북미합의 이행 국제사회와 협력…새시대 위해 헌신,6
66,호날두 노쇼 유벤투스 무책임·거만 비판 수용 어려워,5
67,월드컵 태극전사 산책과 닭갈비로 피로 해소,5
68,北미사일 발사 정부 개성공단 체류인원 500명까지 축소종합,6
69,朴대통령 총선 닷새만 첫 평가…평소보다 짧은 6분 발언,6
70,한미 수석대표 협의 위해 출국하는 이도훈,6
71,안철수·천정배 박지원과 회동…입당 삼고초려,6
72,英 존슨 브렉시트 완수한 뒤 클린에너지 혁명 추진종합,4
73,문대통령 아세안·APEC 일정 마치고 오늘 저녁 귀국,6
74,北 2040개국에 12만 명 파견…하루 16시간 강제노동도,6
75,촛불민심 받들어 국정운영…촛불 2돌 맞는 문대통령,6
76,독재 시작했나…네이마르 PSG 회장에 카바니 이적 요구,5
77,아시안게임 만리장성 맞서는 농구 단일팀 이문규 감독...,5
78,스웨덴·러 외교갈등…스웨덴 비자거부에 러 추방으로 맞불,4
79,한승혁 6⅔이닝 1실점 역투…KIA NC 완파,5
80,이란군 트럼프 무인기 파괴 확신에 찬 거짓말 처음엔 믿어,4
81,박지수 WNBA 코네티컷 상대로 2점·3리바운드 기록,5
82,MLB닷컴·디애슬레틱 류현진 다음 행선지 텍사스 유력,5
83,한국당 가짜뉴스 규제는 개인미디어 통제…입법화 반기,6
84,우상호·박지원 상견례…1당이 내놓아야 양보할건 하겠다,6
85,美해군총장 한일 레이더갈등에 이견 해소 노력 촉구,4
86,NBA 로즈 개인 최다 50점 넣고 감격의 눈물,5
87,울산한마음축구대회 개최…여성·노장부 등 40팀 참가,5
88,지역구 후보 342명 재산 10억이상…1위 김병관 2천637억,6
89,朴대통령 금주 안보·경제 이중 위기 극복 고삐 죈다,6
90,터키 독일·러시아서 테러 주도한 고위 IS 지도자 체포,4
91,화웨이 한국 기업 3곳과 5G 생태계 관련 MOU 체결,4
92,구자철 발목 부상으로 전력 이탈…아우크스 비상,5
93,정지석·양효진 등 프로배구 FA 37명 공시…대어급 즐비,5
94,반년 만에 잊힌 카슈끄지…사우디 국제행사 유력인사로 붐벼,4
95,獨외무 홍콩 시위 격화에 모든 당사자 참아야,4
96,한화 4천20일 만의 PS vs 넥센 4년 만의 PO...,5
97,여야 원내대표단 방미 추진…美의회에 한반도 평화 설득,6
98,靑 창조센터장 감찰 주장에 감찰대상 아니어서 중단한 사안,6
99,리비아 긴장 고조…수도 진격 군벌 트리폴리 공항 장악,4
100,홍콩 경찰 송환법시위 입법회 의원 2명 추가 체포했다가 석방종합,4
101,통일차관 내일 이산상봉 시설 개보수 점검차 금강산行,6
102,EU 오만해 유조선 두 척 피습 관련 최대한 자제해야,4
103,원조 친박에서 文정부 입각까지…진영 행안장관 후보자,6
104,中 美기업 강제 기술이전 피해 주장에 사실무근,4
105,파키스탄서 아내 대상 가벼운 체벌 허용법 추진,4
106,문 대통령 유엔 사무총장회담…평창 이후 찾아올 봄 고대종합2보,6
107,연세대고려대 대학축구 U리그 2권역서 정면대결,5
108,여야 초선 당선인 연찬회…박관용 다선의원에 순종말라,6
109,北 평양과 각 도에 축구학교 설립…4월 개교,6
110,美공화 전당대회 사흘째…미국이 우선 합창,4
111,정부 탈핵정책 비판 문서로 위장한 악성코드 유포돼,6
112,C.팰리스 아스널에 30 완승…이청용 결장,5
113,대만 총통선거 D1 막판 관전 포인트는 대학생 귀향투표,4
114,슈퍼루키 강백호 남은 2경기서 신인 최다 홈런 신기록 도전,5
115,이라크 남부 바스라서 반정부시위 100명 부상…항구도 차질,4
116,美행정부 아프간 병력 감축 후 CIA 역할 확대 놓고 이견,4
117,英 야당대표 노딜 브렉시트되면 영국은 트럼프 손아귀에,4
118,군벌 수장의 수도장악 욕심에 갈림길에 선 리비아,4
119,평양정상회담 백화원 영빈관 도착한 문 대통령,6
120,정의당 아베정권 규탄한다,6
121,오신환 국회정상화 진전된 협상 가능…주말전후 회동 조율,6
122,美 오하이오주립대 교정에 총기든 괴한 있다 경고,4
123,센터 김수지 복근 부상으로 귀국…VNL 3주 차는 13명으로,5
124,北 퍼스트레이디 리설주 9개월만에 공개 행보,6
125,박지원 靑 中언론 비판은 선전포고…한중외교 망쳐선 안돼,6
126,아시안게임 경기장 잔디 점검한 김학범 중동팀에 유리한...,5
127,회담하는 베트남 외교장관과 리용호 북한 외무상,4
128,프로배구 새내기 황경민 신인왕 내가 받았으면 좋겠다,5
129,나라 쪼개지고 국민 행복 위협…미국인들 다수 대선 걱정,4
130,朴대통령 지지율 4%…3주째 5% 유지하다 역대 최저치 또 경신종합,6
131,정상회담 D1 김정은 완전한 비핵화 의지 판문점선언에 담기나종합,6
132,LA타임스 현재 다저스 에이스는 커쇼·뷸러 아닌 류현진,5
133,아가메즈·비예나 등 V리그 외국인 선수 대거 입국…KOVO...,5
134,힐러리 트럼프는 증오·공포 거래업자…정치적 방화 자행,4
135,이 도시를 사하소서 러 사제들 공중서 70ℓ 성수 뿌려,4
136,中 건국 70주년 역대 최대 규모 열병식으로 힘 과시,4
137,NC 감독교체에도 4연패…유영준 감독대행 데뷔전 패배,5
138,제재 풀린 이란산 카펫 미국에 첫 수출,4
139,텍사스 투수 마이너 논란의 200탈삼진…기록 밀어주기 눈살,5
140,1보 류현진 한국인 첫 MLB 올스타전 선발로 1이닝...,5
141,지브롤터 미국의 이란 유조선 압류요청 거부,4
142,나란히 양복 상의 벗고 지휘…승자는 삼성 이상민 감독,5
143,프로농구 선두 DB 최하위 kt 꺾고 10연승 질주,5
144,中 북미 확실한 조치 해야…대북 제재 완화도 방법종합,4
145,대북제제 중간점검 ⑤안보리 제재 이후 北반발 일지끝,6
146,파다르 트리플크라운 현대캐피탈 우리카드에 1차전 기선제압,5
147,축출된 수단 독재자 바시르 테러자금지원 혐의 조사받는다,4
148,폭행 혐의로 체포됐던 우리아스 8일 만에 다저스 복귀,5
149,북미정상회담 여야 표심에 이미 반영…부동층 향배엔 촉각,6
150,SUN 첫 야구 국가대표팀 전임감독 선임부터 퇴임까지,5
151,폴란드 北 노동자 고용기업 위법사례 적발,4
152,북한인권기록센터 28일 현판식…北 인권 조사업무 시작,6
153,네이마르·메시 브라질아르헨티나 관광 도우미로 나선다,5
154,캐나다 외교당국자 방북…임현수 목사 문제 논의종합,4
155,베트남 언론 아시안게임 첫 4강 박항서 매직 뉴스로 도배,4
156,아시안게임 여자축구 전가을 황금세대 책임감으로 새 역...,5
157,폼페이오 中 약탈적 전술…아세안서도 중국과 충돌종합,4
158,김방훈 자유한국당 제주도당위원장 도지사 출마 선언,6
159,IMO 北 탄도미사일 발사 관련한 통보 없어,6
160,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,5
161,스웨덴 사람이 말하는 진짜 스웨덴의 삶,4
162,다저스 부상선수 대거 합류…류현진에게 힘 실을까,5
163,한국 아시아 U18 여자농구 4강에서 중국에 패배,5
164,프로농구 KBL 음주 운전 kt 박철호에 36경기 출전 ...,5
165,NBA 매직 공동 창업자 올랜도에 MLB 구단 유치 추진,5
166,미사일 공격으로 시리아 반군 지도자 40여명 사망,4
167,朴대통령 취임후 3년간 국민 5천29회 경제 4천203회 언급,6
168,차이잉원 추월한 라이칭더 당선돼도 대만 독립 선포 안해,4
169,이란 美 최대압박의 고비용 보여주려 해WSJ,4
170,캐나다 학교 총격으로 5명 사망 2명 중태종합,4
171,여야 출연연 조직개편 요청…최기영 후보자 살펴보겠다,6
172,문 대통령 헌법기관장들과 미소지으며,6
173,밀워키 간판 옐리치 파울 타구 맞아 무릎 골절…시즌 아웃,5
174,UAE 내년 화성탐사선 발사…우주개발이 우리 문제 해결할 것,4
175,트럼프 이란은 거래 원한다…제재완화 여지 언급,4
176,마러라고 침입한 여성 배후에 중국 관련 단체 있다,4
177,방북한 러시아 외무장관 만나는 김정은,6
178,되살아난 트라우마 롯데 연패에 울고 판정에 울고,5
179,웃지 못한 김승기 감독 오세근 많이 다친 듯…4차전 총력전,5
180,문 대통령 쇼트트랙 최민정 선수 격려,6
181,김연경 벨기에전 완패 훈련 때 보다도 못했다,5
182,시진핑이탈리아 대통령 정상회담…일대일로 통해 협력 강화,4
183,국방부 北 한미훈련 위협에 경거망동 중단하라…도발시 응징종합,6
184,NBA 만년 2인자 톰프슨 3점슛 14개 신기록 폭발종합,5
185,사드 배치에 찬반 당론 못내놓는 더민주…지도부도 온도차,6
186,평양정상회담 정의용·서훈과 기념촬영하는 김정은,6
187,EU 브렉시트 연기 EU가 동의해야 강조…연기 기간에 촉각,4
188,北종업원 인신보호 결론 못내…민변 재판부 기피 신청종합,6
189,집 나가도 강한 류현진 원정경기 평균자책점도 1점대,5
190,네덜란드 시리아 체류 자국 아이들 송환문제 놓고 논란 확산,4
191,팬텀싱어 우승팀 포르테 디 콰트로 14개 도시서 투어공연,5
192,여자배구 열기 후끈…GS칼텍스 홈 경기 시즌 첫 매진,5
193,얘기 나누는 정무수석과 민정수석,6
194,먼저 2승 최태웅 감독 우승 기회 왔다. 철저히 준비...,5
