번호,분류,제목,내용,내용번호
2645,복지,아빠 육아휴직 장려금,   업무개요  남성근로자의 육아휴직을 장려하고 양육에 따른 경제적 부담을 완화함으로써 일과  가정생활의 양립 및 가족친화적인  사회환경 조성  지원대상  신청일 기준 년 이상 계속하여 서초구에  주민등록 되어 있는 아빠 육아휴직자 대상자녀 서초구에 주민등록 된 경우    신청기간  육아휴직 시작일 이후 개월부터 종료일 이후 개월 이내   신청방법   온라인  서초구청 홈페이지    경로  서초구청 홈페이지  분야별정보  복지   영유아복지  아빠육아휴직장려금 신청 바로가기   방문  동주민센터 구 여성보육과 방문   구비서류   고용센터 발행 육아휴직급여 지급결정 통지서  부  주민등록등본 부 세대원 이름과 전입일자 포함 모든 구성원  주민번호 뒷자리 미포함   지원내용  매월 만원 지원기간 최대 년    ,23522464
2644,경제,[서울산업진흥원] 서울메이드란?, 서울의 감성을 담은 다양하고 새로운 경험을 제공하기 위해 만들어진 라이프스타일 플랫폼 브랜드로 서울이 만들고 세계가 함께 쓰는 브랜드 입니다    서울의 감성을 담은 기업과 협업하여 브랜드 상품을 발굴   사용을 원하는 중소기업에게 서울메이드 브랜드 제공 등   관련홈페이지  서울메이드               상세문의사항  서울산업진흥원 브랜드전략팀  ,23194045
2643,환경,(강북구) 정비중,업무개요  투명 폐트병을 교환 보상하므로 수거율을 높이고 폐기물을 감량하여 환경 보호에 기여  업무설명   강북구 투명 페트병 종량제봉투 교환 사업 안내   구분 내용  사업기간         교환품목  투명 페트병 유색 페트병 일회용 컵 요구르트 식품 포장용기 식용유 양념류 제외    대상  관내 구민 누구나  교환장소  관내 동 주민센터 방문 교환  목요일 한정  처리방법  투명 페트병  개당 종량제봉투  장 교환   이하 개당  장 교환  이상 개당  장 교환  유의사항  물로 헹구고 비닐을 제거한 뒤 찌그러트려 뚜껑을 닫은 제품만 교환   뚜껑만 별도 재활용하는 단체에 가져다주는 경우 있음  뚜껑 꼭 안 닫아도 교환 가능       까지의 교환 실적을 토대로 각 동별 우수자 명에게 투명 페트병 재활용 제품 증정   단 강북구민 한정  타 동 실적 중복 인정하지 않음   예 김아무개 수유동 개 등  수유동 개 등으로 개 동 우수자여도 제품은 하나만 증정        ,23032485
2642,복지,"광진맘택시 운영(임산부,영아 양육가정 전용 택시)",업무개요 교통약자인 임산부와 영아가정 주민이 병원 진료를 받으러 갈 떄 쾌적하고 안전하게  이동할 수 있도록 광진맘택시 운영  대상자   광진구에 주민등록을 한 임산부 및 개월 이하 자녀를 둔 가정   신청일 해당월의 개월 이전 출생자부터 이용가능  함  예 년 월 일 회원가입 신청 시 년 월  출생자부터 대상  지원내용 가정당 만원 택시이용권  이용시기   진료 또는 건강관리 목적 이동 및 귀가 시 사용   병원 의원 한의원 약국 보건소 산후조리원  임산부 아기 건강프로그램 임산부 요가 아기 마사지 등 진행시설  이용방법   신청서 제출 후 앱 설치  택시 이용  증빙자료 제출   신청서 확인서류 제출  동 주민센터 방문 또는  이메일                 월 부터는 앱   택시 으로 신청서 제출 가능      신청서 다운로드 경로  광진구청 홈페이지  분야별복지  생애주기별복지  보육 여성  여성 임산부 지원  광진맘택시 바로가기   서비스 운영사 앱 설치 및 회원가입   앱 설치방법  안드로이드 플레이스토어    아이폰       에서   아이엠 택시 검색 및 다운로드   앱 호출 후 이용  본인 계정 내 쿠폰 확인 후 쿠폰  결제   택시 이용 후 일 내 증빙자료 병원영수증 또는 진료확인서  등 제출   제출방법  이메일             신청기간      월    금     월 부터는 앱  택시 으로 신청서 제출 가능   신청회차 신청기간 쿠폰 부여일  차   월    금   목   차   월    금   목   차   월    금   목   차   월    금   목   차   월    금   화      ,22904492
2641,복지,마포 뇌병변장애인 비전센터,  마포뇌병변장애인 비전센터 운영   구분 내용  목적  학령기 이후 갈 곳이 없는 중증 뇌병변 장애인의 교육 돌봄 건강 등 맞춤종합서비스 제공   대상자  만세 이상  만세 미만 중증 중복 뇌병변 장애인   이용시간  평일   실 수업시간     이용료  월 원 식비 별도   기초생활수급자 무료 차상위계층  감면 식비 별도   지원내용  개별 특성 및 욕구를 기반으로 한 교육 돌봄 건강 등의 종합서비스   이용방법  이용자 모집 기간에 유선으로 예약 후 내방하여 접수   문의처  마포뇌병변장애인비전센터   마포구 신촌로 길 우리마포복지관 층   기타사항  상세 문의는 마포뇌병변장애인비전센터로 문의    ,22477798
2640,행정,2021년도 중1·고1 신입생 입학준비금 지원,업무개요  서울시는 전국 최초로 년도부터 개 자치구 교육청과 협력하여 서울 관내 국 공 사립 중 고 고등기술  특수 각종학교에 입학하는 학생들을  대상으로 입학준비금을 지원하여 신입생 가정에 경제적 부담 감소 및 소득에 관계없이 교복 등 의류 스마트기기를 지원하여 교육의 공공성  강화 및 보편적 교육복지를 실현하고자 함  업무설명  입학준비금 지급방식은 각 학교에서 학생 학부모 의 신청을 받아 교복구매 지원 또는 제로페이 모바일 포인트를 지급하는 방식이며 구입범위는  교복 생활복 체육복 일상 의류 등교에 필요한 의류  원격수업에 필요한 스마트기기 구매가능   신청 날짜 및 지급방법 등의 문의는 각 학교에서 진행되므로 해당학교로 문의해야함    년 중 고등학교 입학준비금 사용 범위   구분 의류 스마트기기  구매범위  교복 생활복 체육복 일상 의류 등교에 필요한 의류  태블릿   노트북 포함  원격수업에 필요한 스마트 기기   비고  교복 구매 시 학교별 학칙에서 정한 교복 형태에 따라 추진 온라인 수업 과제용  등록된 제로페이 가맹점을 방문하여 구매 가능    교육의 공공성 강화와 교육복지를 실현하기 위한 사업으로 중 고 신입생의 교육 준비에 필수적인 물품으로 제한됨   지원대상  지원 대상 년 국 공 사립 중 고 고등기술  특수 각종학교 신입생 전원   지원금액  인당 만원 학교로 예산 교부 교복구매 지원 및 포인트 지급   사용방법   학교주관구매 교복비로 사용  학교에서 교복비로 지원 처리  주관구매 교복 외 등교의류와 스마트기기 구매 교복물려입기 포함   제로페이로 사용  코드 방식의 모바일 간편 결제 서비스 활용  중학생의 경우 학부모에게 지급 세 미만 제로페이 지급 불가   기타사항  서울시에 신고 수리된 개 비인가 대안교육기관에 입학하는 학교 밖 청소년의 경우에도 공교육 학생들과 같은 방식인 제로페이 포인트로  부모 소득과 관계없이 만 원씩 지급될 예정이다    ,22227896
2639,복지,위드유 서울 직장 성희롱.성폭력 예방센터,업무개요  직장 내 성희롱 지원체계 사각지대에 있는 서울 시민이 안전하고 성평등하게 일할 수 있는 환경 조성 민관 협력을 통해 성희롱 예방 및 피해자 지원 체계 강화  업무설명   서울 직장 성희롱 성폭력 예방센터 위드유    구분 내   용  직장 내 성희롱 예방교육   인 미만 소규모 사업장 내 성희롱 예방을 위한 맞춤형 교육 무료 지원  교육내용  성희롱의 개념과 원인 이해 조직 내 성평등 문화 점검           성희롱 고충사건의 분쟁해결절차 안내  신청방법  신청서 작성 후 이메일접수             사업장 조직문화 컨설팅   인 미만 소규모 사업장에 교육 법률 전문가를 무료 매칭하여 조직문화 진단 및 솔루션 제공  컨설팅내용  조직문화 진단 내부 규정 개선방안 제시  신청방법  신청서 작성 후 이메일접수             피해지원 기반강화   직장 내 성희롱 성폭력 예방 및 피해지원기관과 연대하여 직장 내 성희롱 피해지원의 공백 분야   발굴 지원  사업내용   기관 및 종사자 역량 강화  직장 내 성희롱 성폭력 피해자 법률 동행 지원                      성희롱 대응 역량 강화를 위한 워크숍 사례연구회 지원                       직장 내 성희롱 피해지원 정책 발굴 및 협력사업   피해지원 기관 네트워크 협의회   직장 내 성희롱 정보화 사업   성평등 조직문화 확산   조직 내 성평등 문화 확산을 위해 사업장 조직문화 개선 및 대시민 홍보 캠페인 진행    관련   여성폭력 상담 여성긴급전화 아동 여성폭력피해자 통합지원센터 폭력피해 이주여성  원스톱 지원센터 성폭력 성폭행  가정폭력 성매매 학교폭력 피해자 지원센터  주의사항 특이사항   센터위치  중구 무교로 더익스체인지서울빌딩 층  문의처  위드유 서울직장성희롱성폭력예방센터    관련법규  서울특별시 여성폭력방지와 피해자보호 및 지원에 관한 조례    ,21212235
2638,경제,"[성동구] 반려동물 ""무료상담실"" 운영 안내", 반려동물 무료상담실 무엇이든 물어보시개  운영 안내   구분 내용  사업기간  년 월 월   이용대상  성동구민 누구나 취약계층 우선 배정   상담일정  매월 첫째 셋째 금요일     이용방법   사전예약  전화 사전 예약 후 방문 상담  상담시간  인당 분 이내 약자 수에 따라 조정   상담분야  반려동물 건강상태 이상행동 초기 행동교정 등   간단한 육아 진찰 촉진 등으로 수의학적 부분의 문제해결 방향 제시 대처방법 병원 정밀검사 필요 여부   기존에 잘못 알고 있던 내용 교정   취약계층 등록의무 대상 개월령 이상 개 이 미등록된 경우 동물등록 지원  장소  구청 층 전문상담실        ,21095911
2637,복지,서울시 '우리동네꼼꼼육아정보' 책자,서울시와 서울시육아종합지원센터는 여 명의 우리동네 보육반장이 직접 발로 뛰어 수집한 지역 육아정보를 담은 우리동네 꼼꼼 육아정보 책자를 자치구마다 종씩 총 종 발간하였으며 우리동네 꼼꼼 육아정보 책자에는 우리동네 보육반장 소개 자치구 육아종합지원센터 소개 생애주기별 육아정보 대상별 육아정보 우리동네 육아정보 등이 담겨 있다 책자는 출생신고를 위해 동주민센터에 방문하는 출산부모에게 우선 전달 될 예정이며 개 자치구의 육아종합지원센터 열린육아방 공동육아나눔터 등 부모와 아이들이 자주 찾는 곳에 배포할 예정이다   인터넷 다운로드 경로  서울특별시 보육포털서비스               서울시육아정보  우리동네 꼼꼼육아정보  서울특별시육아종합지원센터               양육지원  우리동네보육반장  우리동네육아지원 ,18955676
2636,교통,반반택시 (심야시간 택시 동승앱),업무개요   심야 택시수요 대비 택시공급 부족으로 발생하는 승차난 해소를 목적으로       규제 샌드박스 실증특례 대상으로 지정된 반반택시 서비스 개시 개시일      업무설명   반반택시 앱   안드로이드폰에서만 이용 가능 아이폰은 어플 시스템 개발중 개발 일정 미정   서비스 방식   동승을 원하는 승객이 앱을 통해 호출  자동으로 동승객 동성 을 매칭하고 운전자를    호출하는 방식 과거 운전자가 승객을 선택해서 합승하는것과 다른 서비스   동승객 매칭방법   인접지역 이내 동승구간이 이상 동승시 추가예상 시간이 분 이하인 경우에만   동성 매칭 남 남 여 여    운행지역    개 자치구 구제 샌드박스에서 정한 승차난이 많이 발생하는 지역 한정    강남구 서초구 종로구 마포구 용산구 영등포구 구로구 성동구 광진구 동작구 관악구 중구  이용 가능 시간   시 시  요금산정   미터기 요금  이용거리에 비례하여 반반씩 지불  호출료 호출료 중 천원은 앱 이용료   시 시 건당 천원 인 천원   시 시 건당 천원 인 천원     서비스 내용 및 이용절차   사전에 회원가입 승객 기사 및 신용 체크 카드 등록 진행  인의 승객이 앱에서 택시 동승 요청  이동경로가 유사한 인접지역  이내  동승구간 이상 동승시 추가 예상시간 분 이하인    경우에 한정하여 실시간 동승 매칭 후 택시기사에 호출 신청  승객들은 인 인 앱을 통해 배정된 좌석 앞 또는 뒤 에 탑승  최종 목적지 도착 후 택시기사가 하차 승객의 금액을 입력하고 승객간 이동거리비율을    계산하여 요금 플랫폼 호출료 포함 자동산정 결제    기타사항   반반택시 앱 서비스 이용 관련  코나투스 고객센터  시간 운영   반반택시 정책 관련  서울시 택시물류과 이호상     ,18409818
